2033,iPhone XS Max,4800,El Jadida,2021-04-14 00:00:00,iphone xs max,avito,14 Avril,
2034,Iphone 11,5800,Tanger,2021-04-16 00:00:00,iphone 11,avito,16 Avril,
2035,iphone 7 plus officiel,2000,Casablanca,2021-04-19 00:00:00,iphone 7 plus,avito,19 Avril,
2036,iPhone 8 Plus 256,4500,Casablanca,2021-04-21 00:00:00,iphone 8 plus,avito,21 Avril,
2037,Iphone 7 plus 128 go,2500,Casablanca,2021-04-21 00:00:00,iphone 7 plus,avito,21 Avril,
2038,Iphone 5s,600,Tanger,2021-04-21 00:00:00,iphone 5s,avito,21 Avril,
2039,IPhone XR en très bon état,3900,Nador,2021-04-22 00:00:00,iphone xr,avito,22 Avril,
2040,iphone 11 pro max 64Go,7600,Meknès,2021-04-22 00:00:00,iphone 11 pro max,avito,22 Avril,
2041,iPhone 8 plus Noir,3100,Agadir,2021-04-23 00:00:00,iphone 8 plus,avito,23 Avril,
2042,Iphone 5s,300,Inzegan,2021-04-25 00:00:00,iphone 5s,avito,25 Avril,
2043,iPhone 12 Pro Max,11000,Agadir,2021-04-26 00:00:00,iphone 12 pro max,avito,26 Avril,
2044,iPhone 12 Pro Max,11000,Agadir,2021-04-26 00:00:00,iphone 12 pro max,avito,26 Avril,
2045,Iphone 7 gold 128 gb,1200,Rabat,2021-04-26 00:00:00,iphone 7,avito,26 Avril,
2046,Iphone xs max,5000,Salé,2021-04-26 00:00:00,iphone xs max,avito,26 Avril,
2047,Iphone 8 blanc 256G,2500,Casablanca,2021-04-26 00:00:00,iphone 8,avito,26 Avril,
2048,iPhone 12 mini,5500,Casablanca,2021-04-26 00:00:00,iphone 12 mini,avito,26 Avril,
2049,iPhone 7,1500,Casablanca,2021-04-27 00:00:00,iphone 7,avito,27 Avril,
2050,Iphone 8,2200,Marrakech,2021-04-27 00:00:00,iphone 8,avito,27 Avril,
2051,chargeur iphone 12 pro max,500,Rabat,2021-04-28 00:00:00,iphone 12 pro max,avito,28 Avril,
2052,Iphone 8 64GB,2250,Marrakech,2021-04-29 00:00:00,iphone 8,avito,29 Avril,
2053,iPhone 6,650,Salé,2021-04-29 00:00:00,iphone 6,avito,29 Avril,
2054,Iphone 6s Gold 64G,1200,Meknès,2021-04-30 00:00:00,iphone 6s,avito,30 Avril,
2055,iPhone X,4000,Salé,2021-05-01 00:00:00,iphone x,avito,01 Mai,
2056,iPhone 7 Plus 128 Gb,2400,Fès,2021-05-01 00:00:00,iphone 7 plus,avito,01 Mai,
2057,iPhone x gris sidéral en très bon état,3700,Casablanca,2021-05-02 00:00:00,iphone x,avito,02 Mai,
2058,iphone xr,3500,Casablanca,2021-05-04 00:00:00,iphone xr,avito,04 Mai,
2059,iPhone 12 normal,8000,Casablanca,2021-05-04 00:00:00,iphone 12,avito,04 Mai,
2060,Iphone Xs noir,4200,Casablanca,2021-05-05 00:00:00,iphone xs,avito,05 Mai,
2061,iphone 8 plus 256GB,3400,Fès,2021-05-06 00:00:00,iphone 8 plus,avito,06 Mai,
2062,iphone 8 plus noir 256G,3400,Fès,2021-05-06 00:00:00,iphone 8 plus,avito,06 Mai,
2063,iPhone XR 128 Go tres bonne état,4000,Salé,2021-05-07 00:00:00,iphone xr,avito,07 Mai,
2064,Iphone XS 64Go,3900,Salé,2021-05-07 00:00:00,iphone xs,avito,07 Mai,
2065,Iphone 7,900,Casablanca,2021-05-07 00:00:00,iphone 7,avito,07 Mai,
2066,iPhone 7 plus Gold,1350,Casablanca,2021-05-08 00:00:00,iphone 7 plus,avito,08 Mai,
2067,IPhone X 64GB,3000,Dakhla,2021-05-09 00:00:00,iphone x,avito,09 Mai,
2068,iPhone 11 PRO MAx 64 giga,8200,Agadir,2021-05-09 00:00:00,iphone 11 pro max,avito,09 Mai,
2069,Iphone XS 256 GB (NEUF) avec chargeur et boite,5200,Rabat,2021-05-11 00:00:00,iphone xs,avito,11 Mai,
2070,iphone 8 plus neuf 256GB,3400,Fès,2021-05-14 00:00:00,iphone 8 plus,avito,14 Mai,
2071,Iphone 11,6500,Casablanca,2021-05-15 00:00:00,iphone 11,avito,15 Mai,
2072,Iphone 8,2300,Temara,2021-05-15 00:00:00,iphone 8,avito,15 Mai,
2073,iphone xr,3900,Salé,2021-05-15 00:00:00,iphone xr,avito,15 Mai,
2074,iPhone 7 Meknès bon état,1400,Meknès,2021-05-17 00:00:00,iphone 7,avito,17 Mai,
2075,Iphone X 64G,4200,Fès,2021-05-17 00:00:00,iphone x,avito,17 Mai,
2076,iPhone XS Gold 256 giga,4000,Salé,2021-05-18 00:00:00,iphone xs,avito,18 Mai,
2077,IPHONE 11 PRO MAX 64GB GOLD COLOR,7500,Casablanca,2021-05-18 00:00:00,iphone 11 pro max,avito,18 Mai,
2078,IPhone 6s plus,1000,Rabat,2021-05-18 00:00:00,iphone 6s plus,avito,18 Mai,
2079,iphone 11 icluod,1900,Oujda,2021-05-19 00:00:00,iphone 11,avito,19 Mai,
2080,Iphone 11 Red 64G,5700,Tanger,2021-05-19 00:00:00,iphone 11,avito,19 Mai,
2081,iphone 12 pro max 128,10500,Benslimane,2021-05-19 00:00:00,iphone 12 pro max,avito,19 Mai,
2082,iPhone 12 Pro Max 256,11500,Casablanca,2021-05-19 00:00:00,iphone 12 pro max,avito,19 Mai,
2083,Iphone 8 a vendre,2300,Casablanca,2021-05-20 00:00:00,iphone 8,avito,20 Mai,
2084,iPhone xs max 90 batterie 64 GB,4800,Casablanca,2021-05-22 00:00:00,iphone xs max,avito,22 Mai,
2085,iphone 8 plus,2500,Tit Mellil,2021-05-22 00:00:00,iphone 8 plus,avito,22 Mai,
2086,Iphone 6s plus 16 g,1400,Casablanca,2021-05-23 00:00:00,iphone 6s plus,avito,23 Mai,
2087,iPhone XS MAX 256 Gb plus 2 Coques,4000,Rabat,2021-05-24 00:00:00,iphone xs max,avito,24 Mai,
2088,Iphone Xr,4300,Casablanca,2021-05-24 00:00:00,iphone xr,avito,24 Mai,
2089,Iphone 7 128GB noir très bon état,1600,Tanger,2021-05-25 00:00:00,iphone 7,avito,25 Mai,
2090,iphone 7 problem afficheur,1000,Casablanca,2021-05-26 00:00:00,iphone 7,avito,26 Mai,
2091,iphone 11pro,6900,Meknès,2021-05-26 00:00:00,iphone 11,avito,26 Mai,
2092,iPhone 6S plus 64Gb,1650,Casablanca,2021-05-27 00:00:00,iphone 6s plus,avito,27 Mai,
2093,IPhone xs max 256GB,6200,Casablanca,2021-05-30 00:00:00,iphone xs max,avito,30 Mai,
2094,iPhone 6 blanc,1500,Asilah,2021-05-30 00:00:00,iphone 6,avito,30 Mai,
2095,Iphone 6s à vendre,500,Fès,2021-05-30 00:00:00,iphone 6s,avito,30 Mai,
2096,IPhone 6s Plus,1720,Salé,2021-05-31 00:00:00,iphone 6s plus,avito,31 Mai,
2097,IPHONE 12 64,8100,Casablanca,2021-05-31 00:00:00,iphone 12,avito,31 Mai,
2098,IPhone 11 pro,6000,Salé,2021-05-31 00:00:00,iphone 11 pro,avito,31 Mai,
2099,iphone 6s,900,Tanger,2021-05-31 00:00:00,iphone 6s,avito,31 Mai,
2100,iphone 7 plus comme neuf,2700,Temara,2021-05-31 00:00:00,iphone 7 plus,avito,31 Mai,
2101,iPhone 11 pro max,7600,Marrakech,2021-06-01 00:00:00,iphone 11 pro max,avito,01 Juin,
2102,iPhone 8,1800,Salé,2021-06-01 00:00:00,iphone 8,avito,01 Juin,
2103,iPhone 6 gold 64 gb état batterie 81,900,Casablanca,2021-06-01 00:00:00,iphone 6,avito,01 Juin,
